@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

ionosphere,1,10,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 10.0 -E 0.001 -P 0.1 -model /Users/GC -seed 1',14172,20141103.1801,316,35,33,2,0,94.285714,5.714286,0,0.867925,0.057143,0.239046,12.517221,50.321653,32.502297,2148,-2115.497703,0.928637,61.371429,-60.442792,28.272417,0.807783,2994.857325,0.833333,10,0,0,1,23,0.166667,2,1,0.833333,0.909091,0.875595,0.916667,0.890476,0.942857,0.109524,0.890476,0.057143,0.947429,0.942857,0.94145,0.875595,0.916667,0.909878,0.933712,0.942857,0.025,0.003,0.023569,0.003652,55246,101687,14858,94.285714,50,?
ionosphere,1,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.2 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20141103.1801,315,36,32,4,0,88.888889,11.111111,0,0.750865,0.128078,0.331139,27.782384,68.940586,33.969909,37.79613,-3.826222,0.943609,1.049893,-0.106284,24.478931,0.67997,2597.596484,0.769231,10,0.043478,1,0.956522,22,0.230769,3,0.909091,0.769231,0.833333,0.756759,0.832776,0.86663,0.888889,0.163136,0.836864,0.111111,0.890505,0.888889,0.886574,0.756759,0.832776,0.84694,0.875,0.888889,1.898,0,1.862703,0.000269,54023,101378,15167,91.666667,55.555556,?
ionosphere,1,2,weka.classifiers.functions.MultilayerPerceptron,'-L 0.2 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20141103.1801,316,35,33,2,0,94.285714,5.714286,0,0.877622,0.092016,0.250822,19.847719,51.891265,33.329976,10.476628,22.853348,0.952285,0.299332,0.652953,26.896876,0.768482,2857.044406,0.923077,12,0.045455,1,0.954545,21,0.076923,1,0.923077,0.923077,0.923077,0.877622,0.986014,0.975185,0.942857,0.065235,0.934765,0.057143,0.942857,0.942857,0.942857,0.877622,0.986014,0.986387,0.938811,0.942857,1.864,0,1.828886,0.000252,54023,101687,14858,97.142857,55.714286,?
ionosphere,1,3,weka.classifiers.functions.MultilayerPerceptron,'-L 0.2 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20141103.1801,316,35,32,3,0,91.428571,8.571429,0,0.813499,0.094531,0.293119,20.390099,60.642058,33.329976,36.210324,-2.880348,0.952285,1.034581,-0.082296,26.51189,0.757483,2816.150342,0.846154,11,0.045455,1,0.954545,21,0.153846,2,0.916667,0.846154,0.88,0.815076,0.874126,0.887041,0.914286,0.113586,0.886414,0.085714,0.914389,0.914286,0.913524,0.815076,0.874126,0.862047,0.906667,0.914286,1.873,0,1.844429,0.000249,54023,101687,14858,91.428571,52.857143,?
ionosphere,1,4,weka.classifiers.functions.MultilayerPerceptron,'-L 0.2 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20141103.1801,316,35,32,3,0,91.428571,8.571429,0,0.807339,0.0869,0.26083,18.744131,53.961876,33.329976,18.093199,15.236777,0.952285,0.516949,0.435336,27.027472,0.772213,2870.916578,0.769231,10,0,0,1,22,0.230769,3,1,0.769231,0.869565,0.822753,0.937063,0.943407,0.914286,0.145055,0.854945,0.085714,0.924571,0.914286,0.911431,0.822753,0.937063,0.946377,0.902868,0.914286,1.949,0,1.921515,0.000274,54023,101687,14858,94.285714,57.142857,?
ionosphere,1,5,weka.classifiers.functions.MultilayerPerceptron,'-L 0.2 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20141103.1801,316,35,34,1,0,97.142857,2.857143,0,0.937833,0.052086,0.185461,11.234888,38.36907,33.329976,7.436438,25.893538,0.952285,0.21247,0.739815,29.786044,0.85103,3163.938022,0.923077,12,0,0,1,22,0.076923,1,1,0.923077,0.96,0.939651,0.996503,0.994505,0.971429,0.048352,0.951648,0.028571,0.972671,0.971429,0.971175,0.939651,0.996503,0.996717,0.968889,0.971429,1.878,0,1.862603,0.000254,54023,101687,14858,97.142857,54.285714,?
ionosphere,1,6,weka.classifiers.functions.MultilayerPerceptron,'-L 0.2 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20141103.1801,316,35,32,3,0,91.428571,8.571429,0,0.813499,0.10953,0.294226,23.625309,60.87093,33.329976,17.969711,15.360264,0.952285,0.51342,0.438865,25.535666,0.72959,2712.453744,0.846154,11,0.045455,1,0.954545,21,0.153846,2,0.916667,0.846154,0.88,0.815076,0.954545,0.946737,0.914286,0.113586,0.886414,0.085714,0.914389,0.914286,0.913524,0.815076,0.954545,0.961815,0.906667,0.914286,1.908,0,1.875885,0.000283,54023,101687,14858,94.285714,57.142857,?
ionosphere,1,7,weka.classifiers.functions.MultilayerPerceptron,'-L 0.2 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20141103.1801,316,35,31,4,0,88.571429,11.428571,0,0.724409,0.121811,0.324013,26.68283,68.208266,32.502297,31.141061,1.361236,0.928637,0.889745,0.038892,23.645061,0.675573,2504.687988,0.666667,8,0,0,1,23,0.333333,4,1,0.666667,0.8,0.753592,0.876812,0.883683,0.885714,0.219048,0.780952,0.114286,0.902646,0.885714,0.878857,0.753592,0.876812,0.868294,0.86,0.885714,1.916,0,1.888403,0.000269,54023,101687,14858,91.428571,54.285714,?
ionosphere,1,8,weka.classifiers.functions.MultilayerPerceptron,'-L 0.2 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20141103.1801,316,35,33,2,0,94.285714,5.714286,0,0.867925,0.085915,0.254259,18.819701,53.524179,32.502297,18.666023,13.836274,0.928637,0.533315,0.395322,26.551044,0.758601,2812.514773,0.833333,10,0,0,1,23,0.166667,2,1,0.833333,0.909091,0.875595,0.971014,0.957633,0.942857,0.109524,0.890476,0.057143,0.947429,0.942857,0.94145,0.875595,0.971014,0.975534,0.933712,0.942857,1.931,0,1.912819,0.000248,54023,101687,14858,94.285714,57.142857,?
ionosphere,1,9,weka.classifiers.functions.MultilayerPerceptron,'-L 0.2 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20141103.1801,316,35,33,2,0,94.285714,5.714286,0,0.867925,0.0566,0.217661,12.398266,45.820037,32.502297,9.234442,23.267855,0.928637,0.263841,0.664796,28.318039,0.809087,2999.689963,0.833333,10,0,0,1,23,0.166667,2,1,0.833333,0.909091,0.875595,0.98913,0.983333,0.942857,0.109524,0.890476,0.057143,0.947429,0.942857,0.94145,0.875595,0.98913,0.990554,0.933712,0.942857,1.905,0,1.878773,0.000259,54023,101687,14858,97.142857,52.857143,?
